date,phase,phase_label,is_weekend,semester
2024-01-29,vacation,Vacation,0,2023F
2024-01-30,vacation,Vacation,0,2023F
2024-01-31,vacation,Vacation,0,2023F
2024-02-01,vacation,Vacation,0,
2024-02-02,vacation,Vacation,0,
2024-02-03,vacation,Vacation,1,
2024-02-04,vacation,Vacation,1,
2024-02-05,vacation,Vacation,0,
2024-02-06,vacation,Vacation,0,
2024-02-07,vacation,Vacation,0,
2024-02-08,vacation,Vacation,0,
2024-02-09,vacation,Vacation,0,
2024-02-10,vacation,Vacation,1,
2024-02-11,vacation,Vacation,1,
2024-02-12,vacation,Vacation,0,
2024-02-13,vacation,Vacation,0,
2024-02-14,vacation,Vacation,0,
2024-02-15,vacation,Vacation,0,
2024-02-16,vacation,Vacation,0,
2024-02-17,vacation,Vacation,1,
2024-02-18,vacation,Vacation,1,
2024-02-19,vacation,Vacation,0,
2024-02-20,vacation,Vacation,0,
2024-02-21,vacation,Vacation,0,
2024-02-22,vacation,Vacation,0,
2024-02-23,vacation,Vacation,0,
2024-02-24,vacation,Vacation,1,
2024-02-25,vacation,Vacation,1,
2024-02-26,start,Semester-Start Week,0,2024S
2024-02-27,start,Semester-Start Week,0,2024S
2024-02-28,start,Semester-Start Week,0,2024S
2024-02-29,start,Semester-Start Week,0,2024S
2024-03-01,start,Semester-Start Week,0,2024S
2024-03-02,start,Semester-Start Week,1,2024S
2024-03-03,start,Semester-Start Week,1,2024S
2024-03-04,start,Semester-Start Week,0,2024S
2024-03-05,start,Semester-Start Week,0,2024S
2024-03-06,start,Semester-Start Week,0,2024S
2024-03-07,selection,Course-Selection Week,0,2024S
2024-03-08,selection,Course-Selection Week,0,2024S
2024-03-09,selection,Course-Selection Week,1,2024S
2024-03-10,selection,Course-Selection Week,1,2024S
2024-03-11,selection,Course-Selection Week,0,2024S
2024-03-12,selection,Course-Selection Week,0,2024S
2024-03-13,selection,Course-Selection Week,0,2024S
2024-03-14,regular,Regular Teaching Week,0,2024S
2024-03-15,regular,Regular Teaching Week,0,2024S
2024-03-16,regular,Regular Teaching Week,1,2024S
2024-03-17,regular,Regular Teaching Week,1,2024S
2024-03-18,regular,Regular Teaching Week,0,2024S
2024-03-19,regular,Regular Teaching Week,0,2024S
2024-03-20,regular,Regular Teaching Week,0,2024S
2024-03-21,regular,Regular Teaching Week,0,2024S
2024-03-22,regular,Regular Teaching Week,0,2024S
2024-03-23,regular,Regular Teaching Week,1,2024S
2024-03-24,regular,Regular Teaching Week,1,2024S
2024-03-25,regular,Regular Teaching Week,0,2024S
2024-03-26,regular,Regular Teaching Week,0,2024S
2024-03-27,regular,Regular Teaching Week,0,2024S
2024-03-28,regular,Regular Teaching Week,0,2024S
2024-03-29,regular,Regular Teaching Week,0,2024S
2024-03-30,regular,Regular Teaching Week,1,2024S
2024-03-31,regular,Regular Teaching Week,1,2024S
2024-04-01,regular,Regular Teaching Week,0,2024S
2024-04-02,regular,Regular Teaching Week,0,2024S
2024-04-03,regular,Regular Teaching Week,0,2024S
2024-04-04,regular,Regular Teaching Week,0,2024S
2024-04-05,regular,Regular Teaching Week,0,2024S
2024-04-06,regular,Regular Teaching Week,1,2024S
2024-04-07,regular,Regular Teaching Week,1,2024S
2024-04-08,regular,Regular Teaching Week,0,2024S
2024-04-09,regular,Regular Teaching Week,0,2024S
2024-04-10,regular,Regular Teaching Week,0,2024S
2024-04-11,regular,Regular Teaching Week,0,2024S
2024-04-12,regular,Regular Teaching Week,0,2024S
2024-04-13,regular,Regular Teaching Week,1,2024S
2024-04-14,regular,Regular Teaching Week,1,2024S
2024-04-15,regular,Regular Teaching Week,0,2024S
2024-04-16,regular,Regular Teaching Week,0,2024S
2024-04-17,regular,Regular Teaching Week,0,2024S
2024-04-18,regular,Regular Teaching Week,0,2024S
2024-04-19,regular,Regular Teaching Week,0,2024S
2024-04-20,regular,Regular Teaching Week,1,2024S
2024-04-21,regular,Regular Teaching Week,1,2024S
2024-04-22,regular,Regular Teaching Week,0,2024S
2024-04-23,regular,Regular Teaching Week,0,2024S
2024-04-24,regular,Regular Teaching Week,0,2024S
2024-04-25,regular,Regular Teaching Week,0,2024S
2024-04-26,regular,Regular Teaching Week,0,2024S
2024-04-27,regular,Regular Teaching Week,1,2024S
2024-04-28,regular,Regular Teaching Week,1,2024S
2024-04-29,regular,Regular Teaching Week,0,2024S
2024-04-30,regular,Regular Teaching Week,0,2024S
2024-05-01,regular,Regular Teaching Week,0,2024S
2024-05-02,regular,Regular Teaching Week,0,2024S
2024-05-03,regular,Regular Teaching Week,0,2024S
2024-05-04,regular,Regular Teaching Week,1,2024S
2024-05-05,regular,Regular Teaching Week,1,2024S
2024-05-06,regular,Regular Teaching Week,0,2024S
2024-05-07,regular,Regular Teaching Week,0,2024S
2024-05-08,regular,Regular Teaching Week,0,2024S
2024-05-09,regular,Regular Teaching Week,0,2024S
2024-05-10,regular,Regular Teaching Week,0,2024S
2024-05-11,regular,Regular Teaching Week,1,2024S
2024-05-12,regular,Regular Teaching Week,1,2024S
2024-05-13,regular,Regular Teaching Week,0,2024S
2024-05-14,regular,Regular Teaching Week,0,2024S
2024-05-15,regular,Regular Teaching Week,0,2024S
2024-05-16,regular,Regular Teaching Week,0,2024S
2024-05-17,regular,Regular Teaching Week,0,2024S
2024-05-18,regular,Regular Teaching Week,1,2024S
2024-05-19,regular,Regular Teaching Week,1,2024S
2024-05-20,regular,Regular Teaching Week,0,2024S
2024-05-21,regular,Regular Teaching Week,0,2024S
2024-05-22,regular,Regular Teaching Week,0,2024S
2024-05-23,regular,Regular Teaching Week,0,2024S
2024-05-24,regular,Regular Teaching Week,0,2024S
2024-05-25,regular,Regular Teaching Week,1,2024S
2024-05-26,regular,Regular Teaching Week,1,2024S
2024-05-27,regular,Regular Teaching Week,0,2024S
2024-05-28,regular,Regular Teaching Week,0,2024S
2024-05-29,regular,Regular Teaching Week,0,2024S
2024-05-30,regular,Regular Teaching Week,0,2024S
2024-05-31,regular,Regular Teaching Week,0,2024S
2024-06-01,regular,Regular Teaching Week,1,2024S
2024-06-02,regular,Regular Teaching Week,1,2024S
2024-06-03,regular,Regular Teaching Week,0,2024S
2024-06-04,regular,Regular Teaching Week,0,2024S
2024-06-05,regular,Regular Teaching Week,0,2024S
2024-06-06,regular,Regular Teaching Week,0,2024S
2024-06-07,regular,Regular Teaching Week,0,2024S
2024-06-08,regular,Regular Teaching Week,1,2024S
2024-06-09,regular,Regular Teaching Week,1,2024S
2024-06-10,regular,Regular Teaching Week,0,2024S
2024-06-11,regular,Regular Teaching Week,0,2024S
2024-06-12,regular,Regular Teaching Week,0,2024S
2024-06-13,regular,Regular Teaching Week,0,2024S
2024-06-14,regular,Regular Teaching Week,0,2024S
2024-06-15,regular,Regular Teaching Week,1,2024S
2024-06-16,regular,Regular Teaching Week,1,2024S
2024-06-17,regular,Regular Teaching Week,0,2024S
2024-06-18,regular,Regular Teaching Week,0,2024S
2024-06-19,regular,Regular Teaching Week,0,2024S
2024-06-20,regular,Regular Teaching Week,0,2024S
2024-06-21,regular,Regular Teaching Week,0,2024S
2024-06-22,regular,Regular Teaching Week,1,2024S
2024-06-23,regular,Regular Teaching Week,1,2024S
2024-06-24,exam,Examination Week,0,2024S
2024-06-25,exam,Examination Week,0,2024S
2024-06-26,exam,Examination Week,0,2024S
2024-06-27,exam,Examination Week,0,2024S
2024-06-28,exam,Examination Week,0,2024S
2024-06-29,exam,Examination Week,1,2024S
2024-06-30,exam,Examination Week,1,2024S
2024-07-01,exam,Examination Week,0,2024S
2024-07-02,exam,Examination Week,0,2024S
2024-07-03,exam,Examination Week,0,2024S
2024-07-04,regular,Regular Teaching Week,0,2024S
2024-07-05,regular,Regular Teaching Week,0,2024S
2024-07-06,regular,Regular Teaching Week,1,2024S
2024-07-07,regular,Regular Teaching Week,1,2024S
2024-07-08,vacation,Vacation,0,2024S
2024-07-09,vacation,Vacation,0,2024S
2024-07-10,vacation,Vacation,0,2024S
2024-07-11,vacation,Vacation,0,2024S
2024-07-12,vacation,Vacation,0,2024S
2024-07-13,vacation,Vacation,1,2024S
2024-07-14,vacation,Vacation,1,2024S
2024-07-15,vacation,Vacation,0,2024S
2024-07-16,vacation,Vacation,0,2024S
2024-07-17,vacation,Vacation,0,2024S
2024-07-18,vacation,Vacation,0,2024S
2024-07-19,vacation,Vacation,0,2024S
2024-07-20,vacation,Vacation,1,2024S
2024-07-21,vacation,Vacation,1,2024S
2024-07-22,vacation,Vacation,0,2024S
2024-07-23,vacation,Vacation,0,2024S
2024-07-24,vacation,Vacation,0,2024S
2024-07-25,vacation,Vacation,0,2024S
2024-07-26,vacation,Vacation,0,2024S
2024-07-27,vacation,Vacation,1,2024S
2024-07-28,vacation,Vacation,1,2024S
2024-07-29,vacation,Vacation,0,2024S
2024-07-30,vacation,Vacation,0,2024S
2024-07-31,vacation,Vacation,0,2024S
2024-08-01,vacation,Vacation,0,
2024-08-02,vacation,Vacation,0,
2024-08-03,vacation,Vacation,1,
2024-08-04,vacation,Vacation,1,
2024-08-05,vacation,Vacation,0,
2024-08-06,vacation,Vacation,0,
2024-08-07,vacation,Vacation,0,
2024-08-08,vacation,Vacation,0,
2024-08-09,vacation,Vacation,0,
2024-08-10,vacation,Vacation,1,
2024-08-11,vacation,Vacation,1,
2024-08-12,vacation,Vacation,0,
2024-08-13,vacation,Vacation,0,
2024-08-14,vacation,Vacation,0,
2024-08-15,vacation,Vacation,0,
2024-08-16,vacation,Vacation,0,
2024-08-17,vacation,Vacation,1,
2024-08-18,vacation,Vacation,1,
2024-08-19,vacation,Vacation,0,
2024-08-20,vacation,Vacation,0,
2024-08-21,vacation,Vacation,0,
2024-08-22,vacation,Vacation,0,
2024-08-23,vacation,Vacation,0,
2024-08-24,vacation,Vacation,1,
2024-08-25,vacation,Vacation,1,
2024-08-26,vacation,Vacation,0,
2024-08-27,vacation,Vacation,0,
2024-08-28,vacation,Vacation,0,
2024-08-29,vacation,Vacation,0,
2024-08-30,vacation,Vacation,0,
2024-08-31,vacation,Vacation,1,
2024-09-01,regular,Regular Teaching Week,1,
2024-09-02,start,Semester-Start Week,0,2024F
2024-09-03,start,Semester-Start Week,0,2024F
2024-09-04,start,Semester-Start Week,0,2024F
2024-09-05,start,Semester-Start Week,0,2024F
2024-09-06,start,Semester-Start Week,0,2024F
2024-09-07,start,Semester-Start Week,1,2024F
2024-09-08,start,Semester-Start Week,1,2024F
2024-09-09,start,Semester-Start Week,0,2024F
2024-09-10,start,Semester-Start Week,0,2024F
2024-09-11,start,Semester-Start Week,0,2024F
2024-09-12,selection,Course-Selection Week,0,2024F
2024-09-13,selection,Course-Selection Week,0,2024F
2024-09-14,selection,Course-Selection Week,1,2024F
2024-09-15,selection,Course-Selection Week,1,2024F
2024-09-16,selection,Course-Selection Week,0,2024F
2024-09-17,selection,Course-Selection Week,0,2024F
2024-09-18,selection,Course-Selection Week,0,2024F
2024-09-19,regular,Regular Teaching Week,0,2024F
2024-09-20,regular,Regular Teaching Week,0,2024F
2024-09-21,regular,Regular Teaching Week,1,2024F
2024-09-22,regular,Regular Teaching Week,1,2024F
2024-09-23,regular,Regular Teaching Week,0,2024F
2024-09-24,regular,Regular Teaching Week,0,2024F
2024-09-25,regular,Regular Teaching Week,0,2024F
2024-09-26,regular,Regular Teaching Week,0,2024F
2024-09-27,regular,Regular Teaching Week,0,2024F
2024-09-28,regular,Regular Teaching Week,1,2024F
2024-09-29,regular,Regular Teaching Week,1,2024F
2024-09-30,regular,Regular Teaching Week,0,2024F
2024-10-01,vacation,Vacation,0,2024F
2024-10-02,vacation,Vacation,0,2024F
2024-10-03,vacation,Vacation,0,2024F
2024-10-04,vacation,Vacation,0,2024F
2024-10-05,vacation,Vacation,1,2024F
2024-10-06,vacation,Vacation,1,2024F
2024-10-07,vacation,Vacation,0,2024F
2024-10-08,regular,Regular Teaching Week,0,2024F
2024-10-09,regular,Regular Teaching Week,0,2024F
2024-10-10,regular,Regular Teaching Week,0,2024F
2024-10-11,regular,Regular Teaching Week,0,2024F
2024-10-12,regular,Regular Teaching Week,1,2024F
2024-10-13,regular,Regular Teaching Week,1,2024F
2024-10-14,regular,Regular Teaching Week,0,2024F
2024-10-15,regular,Regular Teaching Week,0,2024F
2024-10-16,regular,Regular Teaching Week,0,2024F
2024-10-17,regular,Regular Teaching Week,0,2024F
2024-10-18,regular,Regular Teaching Week,0,2024F
2024-10-19,regular,Regular Teaching Week,1,2024F
2024-10-20,regular,Regular Teaching Week,1,2024F
2024-10-21,regular,Regular Teaching Week,0,2024F
2024-10-22,regular,Regular Teaching Week,0,2024F
2024-10-23,regular,Regular Teaching Week,0,2024F
2024-10-24,regular,Regular Teaching Week,0,2024F
2024-10-25,regular,Regular Teaching Week,0,2024F
2024-10-26,regular,Regular Teaching Week,1,2024F
2024-10-27,regular,Regular Teaching Week,1,2024F
2024-10-28,regular,Regular Teaching Week,0,2024F
2024-10-29,regular,Regular Teaching Week,0,2024F
2024-10-30,regular,Regular Teaching Week,0,2024F
2024-10-31,regular,Regular Teaching Week,0,2024F
2024-11-01,regular,Regular Teaching Week,0,2024F
2024-11-02,regular,Regular Teaching Week,1,2024F
2024-11-03,regular,Regular Teaching Week,1,2024F
2024-11-04,regular,Regular Teaching Week,0,2024F
2024-11-05,regular,Regular Teaching Week,0,2024F
2024-11-06,regular,Regular Teaching Week,0,2024F
2024-11-07,regular,Regular Teaching Week,0,2024F
2024-11-08,regular,Regular Teaching Week,0,2024F
2024-11-09,regular,Regular Teaching Week,1,2024F
2024-11-10,regular,Regular Teaching Week,1,2024F
2024-11-11,regular,Regular Teaching Week,0,2024F
2024-11-12,regular,Regular Teaching Week,0,2024F
2024-11-13,regular,Regular Teaching Week,0,2024F
2024-11-14,regular,Regular Teaching Week,0,2024F
2024-11-15,regular,Regular Teaching Week,0,2024F
2024-11-16,regular,Regular Teaching Week,1,2024F
2024-11-17,regular,Regular Teaching Week,1,2024F
2024-11-18,regular,Regular Teaching Week,0,2024F
2024-11-19,regular,Regular Teaching Week,0,2024F
2024-11-20,regular,Regular Teaching Week,0,2024F
2024-11-21,regular,Regular Teaching Week,0,2024F
2024-11-22,regular,Regular Teaching Week,0,2024F
2024-11-23,regular,Regular Teaching Week,1,2024F
2024-11-24,regular,Regular Teaching Week,1,2024F
2024-11-25,regular,Regular Teaching Week,0,2024F
2024-11-26,regular,Regular Teaching Week,0,2024F
2024-11-27,regular,Regular Teaching Week,0,2024F
2024-11-28,regular,Regular Teaching Week,0,2024F
2024-11-29,regular,Regular Teaching Week,0,2024F
2024-11-30,regular,Regular Teaching Week,1,2024F
2024-12-01,regular,Regular Teaching Week,1,2024F
2024-12-02,regular,Regular Teaching Week,0,2024F
2024-12-03,regular,Regular Teaching Week,0,2024F
2024-12-04,regular,Regular Teaching Week,0,2024F
2024-12-05,regular,Regular Teaching Week,0,2024F
2024-12-06,regular,Regular Teaching Week,0,2024F
2024-12-07,regular,Regular Teaching Week,1,2024F
2024-12-08,regular,Regular Teaching Week,1,2024F
2024-12-09,regular,Regular Teaching Week,0,2024F
2024-12-10,regular,Regular Teaching Week,0,2024F
2024-12-11,regular,Regular Teaching Week,0,2024F
2024-12-12,regular,Regular Teaching Week,0,2024F
2024-12-13,regular,Regular Teaching Week,0,2024F
2024-12-14,regular,Regular Teaching Week,1,2024F
2024-12-15,regular,Regular Teaching Week,1,2024F
2024-12-16,regular,Regular Teaching Week,0,2024F
2024-12-17,regular,Regular Teaching Week,0,2024F
2024-12-18,regular,Regular Teaching Week,0,2024F
2024-12-19,regular,Regular Teaching Week,0,2024F
2024-12-20,regular,Regular Teaching Week,0,2024F
2024-12-21,regular,Regular Teaching Week,1,2024F
2024-12-22,regular,Regular Teaching Week,1,2024F
2024-12-23,regular,Regular Teaching Week,0,2024F
2024-12-24,regular,Regular Teaching Week,0,2024F
2024-12-25,regular,Regular Teaching Week,0,2024F
2024-12-26,regular,Regular Teaching Week,0,2024F
2024-12-27,regular,Regular Teaching Week,0,2024F
2024-12-28,regular,Regular Teaching Week,1,2024F
2024-12-29,regular,Regular Teaching Week,1,2024F
2024-12-30,regular,Regular Teaching Week,0,2024F
2024-12-31,regular,Regular Teaching Week,0,2024F
2025-01-01,regular,Regular Teaching Week,0,2024F
2025-01-02,regular,Regular Teaching Week,0,2024F
2025-01-03,regular,Regular Teaching Week,0,2024F
2025-01-04,regular,Regular Teaching Week,1,2024F
2025-01-05,regular,Regular Teaching Week,1,2024F
2025-01-06,exam,Examination Week,0,2024F
2025-01-07,exam,Examination Week,0,2024F
2025-01-08,exam,Examination Week,0,2024F
2025-01-09,exam,Examination Week,0,2024F
2025-01-10,exam,Examination Week,0,2024F
2025-01-11,exam,Examination Week,1,2024F
2025-01-12,exam,Examination Week,1,2024F
2025-01-13,exam,Examination Week,0,2024F
2025-01-14,exam,Examination Week,0,2024F
2025-01-15,exam,Examination Week,0,2024F
2025-01-16,regular,Regular Teaching Week,0,2024F
2025-01-17,regular,Regular Teaching Week,0,2024F
2025-01-18,regular,Regular Teaching Week,1,2024F
2025-01-19,regular,Regular Teaching Week,1,2024F
2025-01-20,regular,Regular Teaching Week,0,2024F
2025-01-21,regular,Regular Teaching Week,0,2024F
2025-01-22,regular,Regular Teaching Week,0,2024F
2025-01-23,regular,Regular Teaching Week,0,2024F
2025-01-24,regular,Regular Teaching Week,0,2024F
2025-01-25,regular,Regular Teaching Week,1,2024F
2025-01-26,regular,Regular Teaching Week,1,2024F
2025-01-27,vacation,Vacation,0,2024F
2025-01-28,vacation,Vacation,0,2024F
2025-01-29,vacation,Vacation,0,2024F
2025-01-30,vacation,Vacation,0,2024F
2025-01-31,vacation,Vacation,0,2024F
2025-02-01,vacation,Vacation,1,
2025-02-02,vacation,Vacation,1,
2025-02-03,vacation,Vacation,0,
2025-02-04,vacation,Vacation,0,
2025-02-05,vacation,Vacation,0,
2025-02-06,vacation,Vacation,0,
2025-02-07,vacation,Vacation,0,
2025-02-08,vacation,Vacation,1,
2025-02-09,vacation,Vacation,1,
2025-02-10,vacation,Vacation,0,
2025-02-11,vacation,Vacation,0,
2025-02-12,vacation,Vacation,0,
2025-02-13,vacation,Vacation,0,
2025-02-14,vacation,Vacation,0,
2025-02-15,vacation,Vacation,1,
2025-02-16,vacation,Vacation,1,
2025-02-17,vacation,Vacation,0,
2025-02-18,vacation,Vacation,0,
2025-02-19,vacation,Vacation,0,
2025-02-20,vacation,Vacation,0,
2025-02-21,vacation,Vacation,0,
2025-02-22,vacation,Vacation,1,
2025-02-23,vacation,Vacation,1,
2025-02-24,start,Semester-Start Week,0,2025S
2025-02-25,start,Semester-Start Week,0,2025S
2025-02-26,start,Semester-Start Week,0,2025S
2025-02-27,start,Semester-Start Week,0,2025S
2025-02-28,start,Semester-Start Week,0,2025S
2025-03-01,start,Semester-Start Week,1,2025S
2025-03-02,start,Semester-Start Week,1,2025S
2025-03-03,start,Semester-Start Week,0,2025S
2025-03-04,start,Semester-Start Week,0,2025S
2025-03-05,start,Semester-Start Week,0,2025S
2025-03-06,selection,Course-Selection Week,0,2025S
2025-03-07,selection,Course-Selection Week,0,2025S
2025-03-08,selection,Course-Selection Week,1,2025S
2025-03-09,selection,Course-Selection Week,1,2025S
2025-03-10,selection,Course-Selection Week,0,2025S
2025-03-11,selection,Course-Selection Week,0,2025S
2025-03-12,selection,Course-Selection Week,0,2025S
2025-03-13,regular,Regular Teaching Week,0,2025S
2025-03-14,regular,Regular Teaching Week,0,2025S
2025-03-15,regular,Regular Teaching Week,1,2025S
2025-03-16,regular,Regular Teaching Week,1,2025S
2025-03-17,regular,Regular Teaching Week,0,2025S
2025-03-18,regular,Regular Teaching Week,0,2025S
2025-03-19,regular,Regular Teaching Week,0,2025S
2025-03-20,regular,Regular Teaching Week,0,2025S
2025-03-21,regular,Regular Teaching Week,0,2025S
2025-03-22,regular,Regular Teaching Week,1,2025S
2025-03-23,regular,Regular Teaching Week,1,2025S
2025-03-24,regular,Regular Teaching Week,0,2025S
2025-03-25,regular,Regular Teaching Week,0,2025S
2025-03-26,regular,Regular Teaching Week,0,2025S
2025-03-27,regular,Regular Teaching Week,0,2025S
