date,phase,requests,writes,avg_resp_ms,distinct_objects,distinct_users,write_rate
2024-01-15,exam,14058,1614,222.76,9357,6810,0.1148
2024-01-16,exam,15281,1743,223.08,10104,7135,0.1141
2024-01-17,exam,12466,1469,223.01,8550,6370,0.1178
2024-01-18,regular,4334,241,82.06,3103,3189,0.0556
2024-01-19,regular,4430,248,81.88,3134,3250,0.056
2024-01-20,regular,1602,95,82.19,1155,1408,0.0593
2024-01-21,regular,1594,96,82.12,1151,1395,0.0602
2024-01-22,regular,3895,217,81.91,2747,2992,0.0557
2024-01-23,regular,3969,256,82.03,2826,2951,0.0645
2024-01-24,regular,4481,301,81.96,3161,3273,0.0672
2024-01-25,regular,3965,230,81.94,2773,2963,0.058
2024-01-26,regular,4179,255,82.1,2966,3089,0.061
2024-01-27,regular,1417,87,81.84,1043,1265,0.0614
2024-01-28,regular,1603,90,82.06,1158,1393,0.0561
2024-01-29,vacation,1119,102,30.89,790,1009,0.0912
2024-01-30,vacation,1190,97,30.94,786,1078,0.0815
2024-01-31,vacation,935,95,30.96,632,857,0.1016
2024-02-01,vacation,1164,81,31.05,797,1061,0.0696
2024-02-02,vacation,1149,105,31.0,810,1050,0.0914
2024-02-03,vacation,1128,78,31.0,765,1040,0.0691
2024-02-04,vacation,784,56,30.82,553,719,0.0714
2024-02-05,vacation,966,66,30.99,661,891,0.0683
2024-02-06,vacation,1065,96,31.03,732,957,0.0901
2024-02-07,vacation,1236,114,31.06,844,1112,0.0922
2024-02-08,vacation,1191,92,31.04,792,1081,0.0772
2024-02-09,vacation,1184,107,30.94,802,1052,0.0904
2024-02-10,vacation,1072,87,30.78,743,997,0.0812
2024-02-11,vacation,1078,97,30.99,750,977,0.09
2024-02-12,vacation,1029,89,31.0,704,937,0.0865
2024-02-13,vacation,802,74,31.11,539,739,0.0923
2024-02-14,vacation,1091,106,31.01,748,998,0.0972
2024-02-15,vacation,1187,107,31.02,832,1050,0.0901
2024-02-16,vacation,1110,108,30.93,739,997,0.0973
2024-02-17,vacation,1197,107,30.78,803,1084,0.0894
2024-02-18,vacation,1113,114,31.0,740,1019,0.1024
2024-02-19,vacation,1081,92,31.03,731,991,0.0851
2024-02-20,vacation,1141,99,31.07,795,1032,0.0868
2024-02-21,vacation,1108,82,31.07,746,1003,0.074
2024-02-22,vacation,1196,107,31.08,814,1089,0.0895
2024-02-23,vacation,1206,99,31.02,822,1075,0.0821
2024-02-24,vacation,1022,92,30.94,715,949,0.09
2024-02-25,vacation,1311,109,31.1,878,1178,0.0831
2024-02-26,start,9038,1246,187.07,6093,5351,0.1379
2024-02-27,start,7988,1136,187.05,5356,4915,0.1422
2024-02-28,start,7172,986,186.95,4871,4591,0.1375
2024-02-29,start,5440,778,187.15,3647,3741,0.143
2024-03-01,start,8331,1181,186.95,5526,5048,0.1418
2024-03-02,start,3013,427,186.93,2110,2385,0.1417
2024-03-03,start,4317,625,186.26,2959,3175,0.1448
2024-03-04,start,7495,1038,186.83,5044,4739,0.1385
2024-03-05,start,6986,998,187.28,4640,4526,0.1429
2024-03-06,start,7388,1083,187.13,4910,4656,0.1466
2024-03-07,selection,19295,2674,284.98,12132,8019,0.1386
2024-03-08,selection,16182,2330,284.91,10352,7340,0.144
2024-03-09,selection,14843,2089,285.2,9534,7015,0.1407
2024-03-10,selection,15850,2241,284.96,10066,7351,0.1414
2024-03-11,selection,17994,2515,285.17,11349,7801,0.1398
2024-03-12,selection,25440,3600,284.82,15482,9072,0.1415
2024-03-13,selection,18012,2724,285.05,11468,7813,0.1512
2024-03-14,regular,4890,303,82.11,3333,3467,0.062
2024-03-15,regular,4018,248,81.79,2840,3025,0.0617
2024-03-16,regular,1158,71,81.72,855,1031,0.0613
2024-03-17,regular,1368,85,82.12,975,1240,0.0621
2024-03-18,regular,4242,269,81.98,2954,3167,0.0634
2024-03-19,regular,4417,269,81.96,3097,3217,0.0609
2024-03-20,regular,4032,228,81.82,2789,3034,0.0565
2024-03-21,regular,4515,270,81.77,3156,3291,0.0598
2024-03-22,regular,4485,252,81.96,3143,3281,0.0562
2024-03-23,regular,1565,80,82.24,1116,1371,0.0511
2024-03-24,regular,1597,87,82.18,1151,1403,0.0545
2024-03-25,regular,4545,250,82.08,3145,3307,0.055
2024-03-26,regular,4453,256,82.03,3189,3246,0.0575
2024-03-27,regular,5018,277,81.96,3488,3601,0.0552
2024-03-28,regular,4323,255,81.89,3081,3158,0.059
2024-03-29,regular,3599,216,81.93,2499,2742,0.06
2024-03-30,regular,1638,91,82.14,1196,1440,0.0556
2024-03-31,regular,1616,102,81.8,1181,1439,0.0631
2024-04-01,regular,5489,318,82.15,3810,3770,0.0579
2024-04-02,regular,4190,267,81.99,2941,3104,0.0637
2024-04-03,regular,5622,337,82.15,3956,3873,0.0599
2024-04-04,regular,4078,258,81.87,2870,3034,0.0633
2024-04-05,regular,5048,295,82.09,3554,3585,0.0584
2024-04-06,regular,1695,96,82.2,1248,1486,0.0566
2024-04-07,regular,1239,76,81.97,926,1108,0.0613
2024-04-08,regular,3999,250,82.02,2817,3014,0.0625
2024-04-09,regular,4223,227,82.05,2898,3113,0.0538
2024-04-10,regular,3799,211,82.06,2678,2900,0.0555
2024-04-11,regular,3842,228,82.0,2731,2916,0.0593
2024-04-12,regular,4855,297,82.1,3376,3481,0.0612
2024-04-13,regular,1528,87,81.9,1128,1363,0.0569
2024-04-14,regular,1414,80,81.06,1041,1263,0.0566
2024-04-15,regular,4824,290,82.02,3305,3458,0.0601
2024-04-16,regular,4425,263,81.67,3022,3245,0.0594
2024-04-17,regular,4503,284,82.0,3147,3287,0.0631
2024-04-18,regular,4226,260,82.0,2963,3164,0.0615
2024-04-19,regular,5378,313,81.99,3787,3728,0.0582
2024-04-20,regular,1513,94,82.1,1106,1340,0.0621
2024-04-21,regular,1703,89,81.67,1236,1452,0.0523
2024-04-22,regular,3813,215,82.08,2711,2913,0.0564
2024-04-23,regular,5405,315,82.0,3768,3738,0.0583
2024-04-24,regular,4119,242,82.09,2914,3109,0.0588
2024-04-25,regular,3908,239,81.97,2743,2930,0.0612
2024-04-26,regular,5255,310,82.01,3663,3645,0.059
2024-04-27,regular,1776,112,82.26,1285,1535,0.0631
2024-04-28,regular,1562,97,81.78,1165,1365,0.0621
2024-04-29,regular,4438,267,82.12,3111,3213,0.0602
2024-04-30,regular,4404,232,82.04,3075,3222,0.0527
2024-05-01,regular,5155,300,81.89,3597,3649,0.0582
2024-05-02,regular,3921,213,82.07,2823,2992,0.0543
2024-05-03,regular,3945,227,82.03,2771,2965,0.0575
2024-05-04,regular,1656,80,82.19,1166,1451,0.0483
2024-05-05,regular,1500,95,81.84,1079,1305,0.0633
2024-05-06,regular,4433,281,82.09,3121,3238,0.0634
2024-05-07,regular,4051,237,81.93,2848,3029,0.0585
2024-05-08,regular,4994,275,81.95,3529,3548,0.0551
2024-05-09,regular,4850,295,81.77,3439,3489,0.0608
2024-05-10,regular,4760,285,82.1,3310,3454,0.0599
2024-05-11,regular,1555,71,82.22,1145,1368,0.0457
2024-05-12,regular,1675,83,82.01,1216,1474,0.0496
2024-05-13,regular,4709,277,81.95,3281,3426,0.0588
2024-05-14,regular,4767,289,81.99,3304,3449,0.0606
2024-05-15,regular,5173,299,81.99,3668,3615,0.0578
2024-05-16,regular,4635,280,82.02,3231,3341,0.0604
2024-05-17,regular,4087,232,82.02,2828,3045,0.0568
2024-05-18,regular,1392,63,82.22,1012,1231,0.0453
2024-05-19,regular,1561,91,82.11,1126,1358,0.0583
2024-05-20,regular,4162,252,82.03,2955,3124,0.0605
2024-05-21,regular,5483,300,82.1,3795,3847,0.0547
2024-05-22,regular,4298,271,82.05,2994,3181,0.0631
2024-05-23,regular,4278,257,82.13,3026,3133,0.0601
2024-05-24,regular,5520,337,81.94,3833,3799,0.0611
2024-05-25,regular,2015,111,81.87,1456,1718,0.0551
2024-05-26,regular,1717,96,81.93,1264,1495,0.0559
2024-05-27,regular,5119,279,81.8,3587,3643,0.0545
2024-05-28,regular,3674,234,82.19,2590,2773,0.0637
2024-05-29,regular,4521,291,81.98,3180,3250,0.0644
2024-05-30,regular,4472,221,82.12,3051,3220,0.0494
2024-05-31,regular,4833,288,81.94,3287,3467,0.0596
2024-06-01,regular,1625,84,82.22,1172,1419,0.0517
2024-06-02,regular,1504,101,81.67,1092,1335,0.0672
2024-06-03,regular,4878,251,82.08,3400,3468,0.0515
2024-06-04,regular,4838,305,82.05,3350,3452,0.063
2024-06-05,regular,4334,260,82.0,3060,3195,0.06
2024-06-06,regular,4312,261,82.17,3062,3161,0.0605
2024-06-07,regular,4005,246,81.98,2786,2955,0.0614
2024-06-08,regular,1974,127,81.94,1430,1686,0.0643
2024-06-09,regular,1453,77,82.31,1075,1299,0.053
2024-06-10,regular,4538,289,81.91,3174,3251,0.0637
2024-06-11,regular,4754,289,81.98,3360,3442,0.0608
2024-06-12,regular,3511,234,81.69,2533,2703,0.0666
2024-06-13,regular,4865,278,82.05,3418,3463,0.0571
2024-06-14,regular,4419,284,82.2,3115,3224,0.0643
2024-06-15,regular,1596,108,81.98,1147,1405,0.0677
2024-06-16,regular,1616,100,82.02,1170,1406,0.0619
2024-06-17,regular,5470,312,81.95,3832,3814,0.057
2024-06-18,regular,4852,295,81.98,3323,3435,0.0608
2024-06-19,regular,4441,289,82.01,3119,3222,0.0651
2024-06-20,regular,5744,342,82.13,3948,3890,0.0595
2024-06-21,regular,4422,285,81.98,3092,3228,0.0645
2024-06-22,regular,1432,84,82.17,1054,1283,0.0587
2024-06-23,regular,1699,118,82.15,1240,1494,0.0695
2024-06-24,exam,13557,1620,222.97,9171,6762,0.1195
2024-06-25,exam,15932,1889,223.15,10624,7349,0.1186
2024-06-26,exam,12192,1435,222.87,8260,6379,0.1177
2024-06-27,exam,16374,1882,222.95,10933,7440,0.1149
2024-06-28,exam,14643,1717,222.97,9886,7038,0.1173
2024-06-29,exam,9590,1131,223.23,6664,5499,0.1179
2024-06-30,exam,8131,977,223.0,5568,4936,0.1202
2024-07-01,exam,11936,1410,223.18,8220,6323,0.1181
2024-07-02,exam,13487,1601,223.09,9139,6685,0.1187
2024-07-03,exam,13002,1482,223.11,8818,6592,0.114
2024-07-04,regular,4826,244,82.06,3349,3464,0.0506
2024-07-05,regular,4956,300,81.95,3439,3519,0.0605
2024-07-06,regular,1404,72,82.17,1004,1255,0.0513
2024-07-07,regular,1781,93,82.0,1272,1530,0.0522
2024-07-08,vacation,948,80,31.04,651,880,0.0844
2024-07-09,vacation,941,94,30.99,656,873,0.0999
2024-07-10,vacation,1187,117,31.11,789,1063,0.0986
2024-07-11,vacation,1182,93,31.03,791,1076,0.0787
2024-07-12,vacation,1341,108,30.95,912,1183,0.0805
2024-07-13,vacation,884,73,30.88,602,802,0.0826
2024-07-14,vacation,1089,94,31.05,746,983,0.0863
2024-07-15,vacation,1233,101,30.96,830,1106,0.0819
2024-07-16,vacation,1223,102,31.01,845,1106,0.0834
2024-07-17,vacation,864,84,31.02,603,787,0.0972
2024-07-18,vacation,919,79,30.99,643,842,0.086
2024-07-19,vacation,975,79,31.03,679,890,0.081
2024-07-20,vacation,1310,135,30.86,913,1178,0.1031
2024-07-21,vacation,1097,96,31.09,746,1007,0.0875
2024-07-22,vacation,1062,98,31.02,754,975,0.0923
2024-07-23,vacation,1223,108,31.09,838,1090,0.0883
2024-07-24,vacation,1248,85,31.07,846,1129,0.0681
2024-07-25,vacation,1095,84,31.03,724,986,0.0767
2024-07-26,vacation,1429,122,31.02,958,1271,0.0854
2024-07-27,vacation,939,81,31.08,660,874,0.0863
2024-07-28,vacation,1025,80,30.99,699,938,0.078
2024-07-29,vacation,1141,84,31.0,789,1026,0.0736
2024-07-30,vacation,1033,99,30.89,706,952,0.0958
2024-07-31,vacation,1189,103,30.98,822,1086,0.0866
2024-08-01,vacation,1217,104,30.9,821,1108,0.0855
2024-08-02,vacation,941,76,30.92,638,861,0.0808
2024-08-03,vacation,1116,110,30.97,770,1023,0.0986
2024-08-04,vacation,1080,99,31.04,722,968,0.0917
2024-08-05,vacation,1068,91,30.95,713,986,0.0852
2024-08-06,vacation,1343,127,31.0,907,1186,0.0946
2024-08-07,vacation,1106,103,31.02,755,1014,0.0931
2024-08-08,vacation,1069,90,31.1,754,984,0.0842
2024-08-09,vacation,1034,85,31.01,713,950,0.0822
2024-08-10,vacation,940,75,31.06,653,865,0.0798
2024-08-11,vacation,1150,91,31.0,784,1025,0.0791
2024-08-12,vacation,1173,94,30.9,800,1069,0.0801
2024-08-13,vacation,997,78,31.09,671,917,0.0782
2024-08-14,vacation,996,95,31.07,700,925,0.0954
2024-08-15,vacation,1191,104,31.02,801,1066,0.0873
2024-08-16,vacation,1219,118,31.01,834,1080,0.0968
2024-08-17,vacation,1110,92,30.95,752,1006,0.0829
2024-08-18,vacation,1066,81,31.02,725,949,0.076
2024-08-19,vacation,1255,109,30.9,872,1127,0.0869
2024-08-20,vacation,1065,93,31.06,743,977,0.0873
2024-08-21,vacation,1118,107,30.97,791,1008,0.0957
2024-08-22,vacation,1412,135,31.01,952,1266,0.0956
2024-08-23,vacation,1135,101,30.99,782,1023,0.089
2024-08-24,vacation,1159,99,30.98,779,1050,0.0854
2024-08-25,vacation,1065,80,30.99,735,955,0.0751
2024-08-26,vacation,1085,95,31.06,723,985,0.0876
2024-08-27,vacation,1295,109,30.86,864,1165,0.0842
2024-08-28,vacation,1035,80,31.02,717,937,0.0773
2024-08-29,vacation,1105,80,31.05,730,996,0.0724
2024-08-30,vacation,1029,96,30.98,716,937,0.0933
2024-08-31,vacation,992,83,30.9,687,903,0.0837
2024-09-01,regular,1535,102,82.06,1145,1341,0.0664
2024-09-02,start,6818,962,187.15,4543,4392,0.1411
2024-09-03,start,5993,833,186.76,4121,4023,0.139
2024-09-04,start,7362,988,187.04,4898,4648,0.1342
2024-09-05,start,5771,819,186.91,3849,3925,0.1419
2024-09-06,start,6503,902,186.95,4408,4276,0.1387
2024-09-07,start,4549,630,187.11,3073,3250,0.1385
2024-09-08,start,4058,573,187.22,2753,3075,0.1412
2024-09-09,start,6337,867,186.92,4282,4204,0.1368
2024-09-10,start,8445,1125,186.92,5678,5074,0.1332
2024-09-11,start,7855,1113,186.97,5172,4840,0.1417
2024-09-12,selection,18825,2761,284.99,11864,7976,0.1467
2024-09-13,selection,19783,2774,285.11,12365,8105,0.1402
2024-09-14,selection,15643,2275,284.8,9975,7249,0.1454
2024-09-15,selection,16214,2243,284.97,10484,7415,0.1383
2024-09-16,selection,15956,2187,285.39,10161,7377,0.1371
2024-09-17,selection,14355,1918,284.85,9284,6939,0.1336
2024-09-18,selection,16465,2246,284.73,10453,7398,0.1364
2024-09-19,regular,4474,258,82.0,3160,3260,0.0577
2024-09-20,regular,4038,231,82.09,2839,3018,0.0572
2024-09-21,regular,1771,110,81.49,1285,1531,0.0621
2024-09-22,regular,1536,96,82.22,1122,1324,0.0625
2024-09-23,regular,3852,237,82.13,2787,2954,0.0615
2024-09-24,regular,4010,230,81.89,2768,2993,0.0574
2024-09-25,regular,4428,268,81.91,3103,3270,0.0605
2024-09-26,regular,5165,315,81.99,3591,3556,0.061
2024-09-27,regular,4079,232,81.89,2886,3000,0.0569
2024-09-28,regular,1696,103,82.01,1255,1490,0.0607
2024-09-29,regular,1833,112,82.13,1346,1580,0.0611
2024-09-30,regular,3623,204,82.03,2579,2773,0.0563
2024-10-01,vacation,1252,121,30.94,828,1142,0.0966
2024-10-02,vacation,966,108,30.87,704,889,0.1118
2024-10-03,vacation,1163,97,31.01,782,1063,0.0834
2024-10-04,vacation,1034,91,31.04,712,941,0.088
2024-10-05,vacation,1304,104,31.04,893,1179,0.0798
2024-10-06,vacation,1037,80,30.79,674,953,0.0771
2024-10-07,vacation,1194,115,31.0,807,1070,0.0963
2024-10-08,regular,4310,276,81.84,3026,3186,0.064
2024-10-09,regular,4958,279,81.97,3483,3506,0.0563
2024-10-10,regular,5408,276,82.05,3792,3783,0.051
2024-10-11,regular,4614,282,81.97,3251,3326,0.0611
2024-10-12,regular,1777,117,81.79,1313,1537,0.0658
2024-10-13,regular,1521,96,82.05,1092,1313,0.0631
2024-10-14,regular,5163,288,82.13,3634,3620,0.0558
2024-10-15,regular,4296,290,81.99,3015,3191,0.0675
2024-10-16,regular,3741,228,82.12,2652,2851,0.0609
2024-10-17,regular,3878,215,82.03,2780,2927,0.0554
2024-10-18,regular,5749,329,81.99,4067,3923,0.0572
2024-10-19,regular,1462,87,81.97,1057,1295,0.0595
2024-10-20,regular,1396,86,81.97,1037,1242,0.0616
2024-10-21,regular,5435,306,81.97,3787,3787,0.0563
2024-10-22,regular,3703,221,81.78,2643,2860,0.0597
2024-10-23,regular,4876,275,81.98,3394,3449,0.0564
2024-10-24,regular,5056,262,82.09,3535,3591,0.0518
2024-10-25,regular,3735,205,81.63,2627,2851,0.0549
2024-10-26,regular,1744,99,81.41,1244,1513,0.0568
2024-10-27,regular,1769,114,82.22,1252,1524,0.0644
2024-10-28,regular,4929,299,82.0,3420,3510,0.0607
2024-10-29,regular,4106,258,82.04,2929,3088,0.0628
2024-10-30,regular,4178,249,82.08,2877,3087,0.0596
2024-10-31,regular,4311,255,82.07,3001,3180,0.0592
2024-11-01,regular,5120,316,82.04,3558,3624,0.0617
2024-11-02,regular,1626,92,82.27,1173,1439,0.0566
2024-11-03,regular,1320,78,82.08,987,1161,0.0591
2024-11-04,regular,4513,269,82.0,3141,3318,0.0596
2024-11-05,regular,3785,245,82.06,2689,2901,0.0647
2024-11-06,regular,4083,237,82.12,2847,3016,0.058
2024-11-07,regular,3974,231,81.9,2762,2981,0.0581
2024-11-08,regular,3833,230,81.79,2719,2893,0.06
2024-11-09,regular,1714,108,82.06,1255,1492,0.063
2024-11-10,regular,1398,92,81.79,1027,1253,0.0658
2024-11-11,regular,4223,252,82.09,2947,3180,0.0597
2024-11-12,regular,4102,244,81.84,2951,3058,0.0595
2024-11-13,regular,3574,199,82.05,2474,2740,0.0557
2024-11-14,regular,4512,285,81.78,3150,3303,0.0632
2024-11-15,regular,6525,369,81.97,4512,4302,0.0566
2024-11-16,regular,1776,104,82.15,1292,1526,0.0586
2024-11-17,regular,1350,74,81.87,969,1214,0.0548
2024-11-18,regular,5432,284,82.05,3777,3802,0.0523
2024-11-19,regular,4236,251,82.02,2977,3125,0.0593
2024-11-20,regular,5535,325,81.87,3805,3816,0.0587
2024-11-21,regular,3830,208,81.95,2698,2918,0.0543
2024-11-22,regular,3957,233,82.04,2794,2932,0.0589
2024-11-23,regular,1463,82,82.07,1081,1300,0.056
2024-11-24,regular,1539,91,81.98,1124,1335,0.0591
2024-11-25,regular,4608,294,82.05,3239,3358,0.0638
2024-11-26,regular,4392,244,82.09,3063,3217,0.0556
2024-11-27,regular,3798,212,81.99,2699,2896,0.0558
2024-11-28,regular,4669,285,81.76,3241,3306,0.061
2024-11-29,regular,4675,272,81.93,3248,3377,0.0582
2024-11-30,regular,1891,121,81.89,1405,1648,0.064
2024-12-01,regular,1394,76,82.29,1003,1260,0.0545
2024-12-02,regular,4222,272,81.91,2958,3114,0.0644
2024-12-03,regular,4433,247,82.14,3122,3259,0.0557
2024-12-04,regular,3653,210,81.91,2593,2804,0.0575
2024-12-05,regular,5458,295,81.87,3829,3787,0.054
2024-12-06,regular,4361,247,82.13,3047,3160,0.0566
2024-12-07,regular,1455,97,81.91,1084,1286,0.0667
2024-12-08,regular,1860,128,81.8,1332,1607,0.0688
2024-12-09,regular,4566,254,81.94,3143,3364,0.0556
2024-12-10,regular,4248,257,81.84,3052,3149,0.0605
