course_id,course_no,semester,department,course_type,capacity,popularity_weight
a1c7484032d7f6ac,CRS-0121,2025F,School of Business Administration,Major Core,176,0.594
ce2da181e736d848,CRS-0122,2025S,School of Civil Engineering,Major Elective,80,1.021
313f4a2d57b23755,CRS-0123,2024F,School of Applied Chemistry,Major Elective,100,1.04
8632e76d6f0cf7f8,CRS-0124,2025S,School of Design & Arts,General Elective,198,1.736
7323f444df5a6c4a,CRS-0125,2025S,School of Applied Chemistry,General Foundation,51,1.371
9c83efb51e845c9d,CRS-0126,2025F,School of Electrical Engineering,Major Core,138,1.106
c47900dbc0e95cfe,CRS-0127,2024S,School of Education,General Foundation,170,1.82
e1a10ce4c1244cdc,CRS-0128,2024F,School of Applied Chemistry,Major Core,69,0.552
6b4a1b6567e87d0d,CRS-0129,2023F,School of Economics,General Elective,104,0.706
7b05c838d3e89d02,CRS-0130,2024F,School of Foreign Languages,Major Elective,115,0.621
1b0b3b46bbcefb4d,CRS-0131,2023F,School of Applied Chemistry,Major Core,185,0.79
ea48983b25c40b91,CRS-0132,2024F,School of Food Science,Major Core,254,0.507
ea167491bafd6574,CRS-0133,2024F,School of Information Engineering,General Elective,223,1.253
321454a6a5662c85,CRS-0134,2024F,School of Education,Major Core,81,0.852
da76bcc8f4bc025b,CRS-0135,2024F,School of Food Science,General Foundation,43,0.486
8e78469a70315cf6,CRS-0136,2025S,School of Applied Chemistry,Major Core,51,0.596
8d74f37767ad7472,CRS-0137,2025S,School of Foreign Languages,General Foundation,171,1.085
a04ed6ee985d5e5d,CRS-0138,2024F,School of Applied Chemistry,General Foundation,74,1.373
571a4b973a2dc01d,CRS-0139,2024F,School of Computer Science,General Foundation,90,2.313
cea688b9a6d67583,CRS-0140,2025F,School of Economics,Major Core,226,3.495
4b0ccc6d9f816453,CRS-0141,2023F,School of Business Administration,Major Core,232,1.135
5d08c9104c71cecb,CRS-0142,2023F,School of Computer Science,Major Core,224,0.603
8cf15ad3b95918a7,CRS-0143,2023F,School of Applied Chemistry,Major Core,95,0.361
f5662b6d122d8f5b,CRS-0144,2024F,School of Food Science,General Elective,176,1.062
b9b10b7882e3282a,CRS-0145,2024S,School of Electrical Engineering,Major Elective,174,0.653
2306ffc537533f15,CRS-0146,2025S,School of Civil Engineering,Major Core,80,0.781
c15f5b32f70f20b2,CRS-0147,2025S,School of Mechanical Engineering,General Foundation,161,0.715
b04d89a5728c89e9,CRS-0148,2024S,School of Information Engineering,Major Elective,155,0.884
c4ec220862c2342c,CRS-0149,2025F,School of Mechanical Engineering,General Foundation,127,1.522
b5502d580cc06b77,CRS-0150,2025S,School of Mechanical Engineering,Major Core,205,1.011
c868e5fe6181457c,CRS-0151,2024S,School of Food Science,General Elective,189,0.877
03bd11ccc318092b,CRS-0152,2024S,School of Food Science,Major Core,157,0.591
a5a904b71eae6488,CRS-0153,2024S,School of Economics,Major Elective,199,0.443
904721d37234817c,CRS-0154,2023F,School of Mechanical Engineering,Major Core,207,0.757
3c0fa05af17095fd,CRS-0155,2023F,School of Mechanical Engineering,Major Elective,164,0.919
e3d7132fc56c8b3b,CRS-0156,2025F,School of Computer Science,General Foundation,98,2.087
4558b3561c62c313,CRS-0157,2024S,School of Applied Chemistry,General Foundation,206,0.999
d489ae66a6688343,CRS-0158,2024S,School of Electrical Engineering,Major Core,197,1.466
a5c2b9662e60d3c0,CRS-0159,2025S,School of Civil Engineering,General Foundation,256,0.752
410e254f59e8725e,CRS-0160,2024F,School of Business Administration,Major Elective,72,0.553
369bf71d19d43f32,CRS-0161,2025F,School of Foreign Languages,General Foundation,132,0.61
3204dae24a16c94d,CRS-0162,2025S,School of Computer Science,Major Core,243,0.68
905b73469fcb56db,CRS-0163,2024F,School of Mechanical Engineering,Major Elective,153,2.454
3eb1b71d66eef466,CRS-0164,2024S,School of Foreign Languages,Major Elective,247,0.651
e9bd82c2fe6ff3ff,CRS-0165,2025F,School of Food Science,Major Core,42,1.374
e9ffd06158e6b10f,CRS-0166,2025S,School of Mechanical Engineering,Major Core,47,0.627
3d2ee09f62a44aef,CRS-0167,2025F,School of Civil Engineering,General Elective,215,1.432
92998c14935b8b6e,CRS-0168,2023F,School of Economics,Major Elective,118,1.12
39b4b8c64ddcb028,CRS-0169,2025S,School of Foreign Languages,Major Elective,154,0.878
9067bea7b6dab176,CRS-0170,2024F,School of Food Science,General Elective,134,0.925
450452f44100459c,CRS-0171,2023F,School of Electrical Engineering,Major Elective,129,0.701
937e072bbc67396d,CRS-0172,2024F,School of Electrical Engineering,General Foundation,246,1.151
80ee204f4fa5ae48,CRS-0173,2025S,School of Foreign Languages,Major Core,60,0.767
1dae557deeb85d48,CRS-0174,2023F,School of Information Engineering,General Foundation,209,0.543
87bfbee40cad8e56,CRS-0175,2024F,School of Business Administration,Major Elective,235,0.53
90eae1b970a0a5e5,CRS-0176,2025S,School of Design & Arts,General Elective,184,1.018
1514acdea4b17a47,CRS-0177,2024S,School of Foreign Languages,Major Core,126,1.917
453162f3a847a710,CRS-0178,2024F,School of Information Engineering,Major Core,75,1.012
73aef6cbddf3cde2,CRS-0179,2024F,School of Applied Chemistry,General Foundation,190,0.893
c9782ac56a6553f9,CRS-0180,2024S,School of Electrical Engineering,General Elective,143,1.071
44301c57119a4762,CRS-0181,2025F,School of Applied Chemistry,General Foundation,72,1.695
e834f61ba1a3cef5,CRS-0182,2025S,School of Education,General Foundation,119,1.04
a219e796a9bd3c17,CRS-0183,2023F,School of Mechanical Engineering,General Foundation,251,0.783
5ccaed55abe3ffdc,CRS-0184,2025F,School of Education,General Foundation,98,1.549
85df5c636c5dca24,CRS-0185,2025S,School of Civil Engineering,Major Core,79,1.142
0eb45c13ab06ea00,CRS-0186,2024S,School of Economics,Major Core,190,1.88
d414b2bc2db72d44,CRS-0187,2025S,School of Civil Engineering,Major Core,83,1.023
474e9c2852b7d89a,CRS-0188,2023F,School of Computer Science,General Foundation,242,0.543
e060c3475f5417d0,CRS-0189,2025F,School of Economics,General Foundation,228,0.509
65298a2b28dcfa1e,CRS-0190,2025S,School of Foreign Languages,Major Core,256,1.98
4afa3e3588323fe0,CRS-0191,2024F,School of Information Engineering,General Foundation,240,2.046
21594e5a92cee062,CRS-0192,2023F,School of Foreign Languages,Major Elective,93,0.869
50ab41c2d1c3e0af,CRS-0193,2025F,School of Economics,General Foundation,86,0.793
10d9b448e2877062,CRS-0194,2023F,School of Electrical Engineering,Major Core,115,1.818
c57d15778e5aab79,CRS-0195,2024S,School of Education,Major Core,143,0.572
98e039659042f0d5,CRS-0196,2023F,School of Design & Arts,Major Core,233,0.63
d053a538b3cac7db,CRS-0197,2025S,School of Electrical Engineering,General Foundation,201,1.258
2be210c5af540cc7,CRS-0198,2023F,School of Mechanical Engineering,General Foundation,181,0.789
4e3a635cec6cfd05,CRS-0199,2025F,School of Foreign Languages,Major Elective,233,0.94
ad783e60ac2607ce,CRS-0200,2024F,School of Business Administration,General Foundation,182,0.875
be596d11ed3a15eb,CRS-0201,2023F,School of Economics,Major Core,123,1.096
006d1f148aff6db1,CRS-0202,2023F,School of Applied Chemistry,Major Core,130,1.774
a7d6eb92e216d6bc,CRS-0203,2023F,School of Civil Engineering,Major Core,153,0.981
4b49f809c25348f7,CRS-0204,2024F,School of Information Engineering,Major Core,59,1.258
15130a0f00967ac5,CRS-0205,2025S,School of Foreign Languages,Major Elective,203,0.374
ccbd83b2e1fb03b9,CRS-0206,2024S,School of Information Engineering,Major Elective,183,0.921
c0caefb8b1a4ccef,CRS-0207,2025S,School of Civil Engineering,General Foundation,200,0.644
61a0849b757d54f6,CRS-0208,2023F,School of Food Science,Major Core,157,0.544
f2fe0901e97904e2,CRS-0209,2025S,School of Education,General Foundation,212,0.634
3cf10b7f4b046d68,CRS-0210,2025F,School of Education,Major Core,248,0.81
2b4e3674e2cb461a,CRS-0211,2025S,School of Education,Major Elective,165,1.422
ff908f573ba3e326,CRS-0212,2025S,School of Applied Chemistry,General Foundation,137,0.519
87c843a9dd319456,CRS-0213,2025S,School of Business Administration,Major Core,63,0.955
25fb5f44e017c692,CRS-0214,2023F,School of Food Science,General Elective,211,0.757
04cc333ee6cf3edb,CRS-0215,2023F,School of Economics,General Foundation,238,0.813
