method,sample_id,latency_ms
Static-3T,128,7.85
Static-3T,129,7.85
Static-3T,130,7.86
Static-3T,131,7.86
Static-3T,132,7.86
Static-3T,133,7.86
Static-3T,134,7.86
Static-3T,135,7.87
Static-3T,136,7.87
Static-3T,137,7.87
Static-3T,138,7.87
Static-3T,139,7.87
Static-3T,140,7.88
Static-3T,141,7.88
Static-3T,142,7.88
Static-3T,143,7.88
Static-3T,144,7.88
Static-3T,145,7.88
Static-3T,146,7.89
Static-3T,147,7.89
Static-3T,148,7.89
Static-3T,149,7.89
Static-3T,150,7.89
Static-3T,151,7.9
Static-3T,152,7.9
Static-3T,153,7.9
Static-3T,154,7.9
Static-3T,155,7.9
Static-3T,156,7.91
Static-3T,157,7.91
Static-3T,158,7.91
Static-3T,159,7.91
Static-3T,160,7.91
Static-3T,161,7.92
Static-3T,162,7.92
Static-3T,163,7.92
Static-3T,164,7.92
Static-3T,165,7.92
Static-3T,166,7.93
Static-3T,167,7.93
Static-3T,168,7.93
Static-3T,169,7.93
Static-3T,170,7.93
Static-3T,171,7.94
Static-3T,172,7.94
Static-3T,173,7.94
Static-3T,174,7.94
Static-3T,175,7.95
Static-3T,176,7.95
Static-3T,177,7.95
Static-3T,178,7.95
Static-3T,179,7.95
Static-3T,180,7.95
Static-3T,181,7.96
Static-3T,182,7.96
Static-3T,183,7.96
Static-3T,184,7.96
Static-3T,185,7.96
Static-3T,186,7.97
Static-3T,187,7.97
Static-3T,188,7.97
Static-3T,189,7.97
Static-3T,190,7.97
Static-3T,191,7.98
Static-3T,192,7.98
Static-3T,193,7.98
Static-3T,194,7.98
Static-3T,195,7.99
Static-3T,196,7.99
Static-3T,197,7.99
Static-3T,198,7.99
Static-3T,199,7.99
Static-3T,200,7.99
Static-3T,201,8.0
Static-3T,202,8.0
Static-3T,203,8.0
Static-3T,204,8.0
Static-3T,205,8.01
Static-3T,206,8.01
Static-3T,207,8.01
Static-3T,208,8.01
Static-3T,209,8.01
Static-3T,210,8.01
Static-3T,211,8.02
Static-3T,212,8.02
Static-3T,213,8.02
Static-3T,214,8.02
Static-3T,215,8.02
Static-3T,216,8.03
Static-3T,217,8.03
Static-3T,218,8.03
Static-3T,219,8.03
Static-3T,220,8.04
Static-3T,221,8.04
Static-3T,222,8.04
Static-3T,223,8.04
Static-3T,224,8.04
Static-3T,225,8.05
Static-3T,226,8.05
Static-3T,227,8.05
Static-3T,228,8.05
Static-3T,229,8.05
Static-3T,230,8.06
Static-3T,231,8.06
Static-3T,232,8.06
Static-3T,233,8.06
Static-3T,234,8.06
Static-3T,235,8.07
Static-3T,236,8.07
Static-3T,237,8.07
Static-3T,238,8.07
Static-3T,239,8.07
Static-3T,240,8.08
Static-3T,241,8.08
Static-3T,242,8.08
Static-3T,243,8.08
Static-3T,244,8.08
Static-3T,245,8.09
Static-3T,246,8.09
Static-3T,247,8.09
Static-3T,248,8.09
Static-3T,249,8.09
Static-3T,250,8.1
Static-3T,251,8.1
Static-3T,252,8.1
Static-3T,253,8.1
Static-3T,254,8.1
Static-3T,255,8.11
Static-3T,256,8.11
Static-3T,257,8.11
Static-3T,258,8.11
Static-3T,259,8.11
Static-3T,260,8.12
Static-3T,261,8.12
Static-3T,262,8.12
Static-3T,263,8.12
Static-3T,264,8.13
Static-3T,265,8.13
Static-3T,266,8.13
Static-3T,267,8.13
Static-3T,268,8.13
Static-3T,269,8.14
Static-3T,270,8.14
Static-3T,271,8.14
Static-3T,272,8.14
Static-3T,273,8.14
Static-3T,274,8.15
Static-3T,275,8.15
Static-3T,276,8.15
Static-3T,277,8.15
Static-3T,278,8.15
Static-3T,279,8.16
Static-3T,280,8.16
Static-3T,281,8.16
Static-3T,282,8.16
Static-3T,283,8.16
Static-3T,284,8.17
Static-3T,285,8.17
Static-3T,286,8.17
Static-3T,287,8.17
Static-3T,288,8.18
Static-3T,289,8.18
Static-3T,290,8.18
Static-3T,291,8.18
Static-3T,292,8.18
Static-3T,293,8.18
Static-3T,294,8.19
Static-3T,295,8.19
Static-3T,296,8.19
Static-3T,297,8.19
Static-3T,298,8.19
Static-3T,299,8.2
Static-3T,300,8.2
Static-3T,301,8.2
Static-3T,302,8.2
Static-3T,303,8.21
Static-3T,304,8.21
Static-3T,305,8.21
Static-3T,306,8.21
Static-3T,307,8.21
Static-3T,308,8.22
Static-3T,309,8.22
Static-3T,310,8.22
Static-3T,311,8.22
Static-3T,312,8.22
Static-3T,313,8.23
Static-3T,314,8.23
Static-3T,315,8.23
Static-3T,316,8.23
Static-3T,317,8.24
Static-3T,318,8.24
Static-3T,319,8.24
Static-3T,320,8.24
Static-3T,321,8.24
Static-3T,322,8.25
Static-3T,323,8.25
Static-3T,324,8.25
Static-3T,325,8.25
Static-3T,326,8.25
Static-3T,327,8.25
Static-3T,328,8.26
Static-3T,329,8.26
Static-3T,330,8.26
Static-3T,331,8.26
Static-3T,332,8.27
Static-3T,333,8.27
Static-3T,334,8.27
Static-3T,335,8.27
Static-3T,336,8.27
Static-3T,337,8.28
Static-3T,338,8.28
Static-3T,339,8.28
Static-3T,340,8.28
Static-3T,341,8.29
Static-3T,342,8.29
Static-3T,343,8.29
Static-3T,344,8.29
Static-3T,345,8.29
Static-3T,346,8.3
Static-3T,347,8.3
Static-3T,348,8.3
Static-3T,349,8.3
Static-3T,350,8.3
Static-3T,351,8.31
Static-3T,352,8.31
Static-3T,353,8.31
Static-3T,354,8.31
Static-3T,355,8.31
Static-3T,356,8.32
Static-3T,357,8.32
Static-3T,358,8.32
Static-3T,359,8.32
Static-3T,360,8.32
Static-3T,361,8.33
Static-3T,362,8.33
Static-3T,363,8.33
Static-3T,364,8.33
Static-3T,365,8.34
Static-3T,366,8.34
Static-3T,367,8.34
Static-3T,368,8.34
Static-3T,369,8.34
Static-3T,370,8.35
Static-3T,371,8.35
Static-3T,372,8.35
Static-3T,373,8.35
Static-3T,374,8.35
Static-3T,375,8.36
Static-3T,376,8.36
Static-3T,377,8.36
Static-3T,378,8.36
Static-3T,379,8.37
Static-3T,380,8.37
Static-3T,381,8.37
Static-3T,382,8.37
Static-3T,383,8.37
Static-3T,384,8.38
Static-3T,385,8.38
Static-3T,386,8.38
Static-3T,387,8.38
Static-3T,388,8.38
Static-3T,389,8.39
Static-3T,390,8.39
Static-3T,391,8.39
Static-3T,392,8.39
Static-3T,393,8.39
Static-3T,394,8.4
Static-3T,395,8.4
Static-3T,396,8.4
Static-3T,397,8.4
Static-3T,398,8.4
Static-3T,399,8.41
Static-3T,400,8.41
Static-3T,401,8.41
Static-3T,402,8.41
Static-3T,403,8.41
Static-3T,404,8.42
Static-3T,405,8.42
Static-3T,406,8.42
Static-3T,407,8.42
Static-3T,408,8.43
Static-3T,409,8.43
Static-3T,410,8.43
Static-3T,411,8.43
Static-3T,412,8.43
Static-3T,413,8.44
Static-3T,414,8.44
Static-3T,415,8.44
Static-3T,416,8.44
Static-3T,417,8.44
Static-3T,418,8.45
Static-3T,419,8.45
Static-3T,420,8.45
Static-3T,421,8.45
Static-3T,422,8.46
Static-3T,423,8.46
Static-3T,424,8.46
Static-3T,425,8.46
Static-3T,426,8.46
Static-3T,427,8.47
Static-3T,428,8.47
Static-3T,429,8.47
Static-3T,430,8.47
Static-3T,431,8.48
Static-3T,432,8.48
Static-3T,433,8.48
Static-3T,434,8.48
Static-3T,435,8.48
Static-3T,436,8.49
Static-3T,437,8.49
Static-3T,438,8.49
Static-3T,439,8.49
Static-3T,440,8.49
Static-3T,441,8.5
Static-3T,442,8.5
Static-3T,443,8.5
Static-3T,444,8.5
Static-3T,445,8.51
Static-3T,446,8.51
Static-3T,447,8.51
Static-3T,448,8.51
Static-3T,449,8.51
Static-3T,450,8.52
Static-3T,451,8.52
Static-3T,452,8.52
Static-3T,453,8.52
Static-3T,454,8.52
Static-3T,455,8.53
Static-3T,456,8.53
Static-3T,457,8.53
Static-3T,458,8.53
Static-3T,459,8.53
Static-3T,460,8.54
Static-3T,461,8.54
Static-3T,462,8.54
Static-3T,463,8.54
Static-3T,464,8.55
Static-3T,465,8.55
Static-3T,466,8.55
Static-3T,467,8.55
Static-3T,468,8.56
Static-3T,469,8.56
Static-3T,470,8.56
Static-3T,471,8.56
Static-3T,472,8.56
Static-3T,473,8.57
Static-3T,474,8.57
Static-3T,475,8.57
Static-3T,476,8.57
Static-3T,477,8.57
Static-3T,478,8.58
Static-3T,479,8.58
Static-3T,480,8.58
Static-3T,481,8.58
Static-3T,482,8.58
Static-3T,483,8.59
Static-3T,484,8.59
Static-3T,485,8.59
Static-3T,486,8.59
Static-3T,487,8.6
Static-3T,488,8.6
Static-3T,489,8.6
Static-3T,490,8.6
Static-3T,491,8.6
Static-3T,492,8.61
Static-3T,493,8.61
Static-3T,494,8.61
Static-3T,495,8.61
Static-3T,496,8.61
Static-3T,497,8.62
Static-3T,498,8.62
Static-3T,499,8.62
Static-3T,500,8.62
Static-3T,501,8.63
Static-3T,502,8.63
Static-3T,503,8.63
Static-3T,504,8.63
Static-3T,505,8.63
Static-3T,506,8.64
Static-3T,507,8.64
Static-3T,508,8.64
Static-3T,509,8.64
Static-3T,510,8.65
Static-3T,511,8.65
Static-3T,512,8.65
Static-3T,513,8.65
Static-3T,514,8.65
Static-3T,515,8.66
Static-3T,516,8.66
Static-3T,517,8.66
Static-3T,518,8.66
Static-3T,519,8.67
Static-3T,520,8.67
Static-3T,521,8.67
Static-3T,522,8.67
Static-3T,523,8.68
Static-3T,524,8.68
Static-3T,525,8.68
Static-3T,526,8.68
Static-3T,527,8.68
Static-3T,528,8.68
Static-3T,529,8.69
Static-3T,530,8.69
Static-3T,531,8.69
Static-3T,532,8.69
Static-3T,533,8.7
Static-3T,534,8.7
Static-3T,535,8.7
Static-3T,536,8.7
Static-3T,537,8.71
Static-3T,538,8.71
Static-3T,539,8.71
Static-3T,540,8.71
Static-3T,541,8.71
Static-3T,542,8.72
Static-3T,543,8.72
Static-3T,544,8.72
Static-3T,545,8.72
Static-3T,546,8.72
Static-3T,547,8.73
Static-3T,548,8.73
Static-3T,549,8.73
Static-3T,550,8.73
Static-3T,551,8.74
Static-3T,552,8.74
Static-3T,553,8.74
Static-3T,554,8.74
Static-3T,555,8.74
Static-3T,556,8.75
Static-3T,557,8.75
Static-3T,558,8.75
Static-3T,559,8.75
Static-3T,560,8.75
Static-3T,561,8.76
Static-3T,562,8.76
Static-3T,563,8.76
Static-3T,564,8.76
Static-3T,565,8.77
Static-3T,566,8.77
Static-3T,567,8.77
Static-3T,568,8.77
Static-3T,569,8.78
Static-3T,570,8.78
Static-3T,571,8.78
Static-3T,572,8.78
Static-3T,573,8.79
Static-3T,574,8.79
Static-3T,575,8.79
Static-3T,576,8.79
Static-3T,577,8.79
Static-3T,578,8.79
Static-3T,579,8.8
Static-3T,580,8.8
Static-3T,581,8.8
Static-3T,582,8.8
Static-3T,583,8.81
Static-3T,584,8.81
Static-3T,585,8.81
Static-3T,586,8.81
Static-3T,587,8.82
Static-3T,588,8.82
Static-3T,589,8.82
Static-3T,590,8.82
Static-3T,591,8.82
Static-3T,592,8.83
Static-3T,593,8.83
Static-3T,594,8.83
Static-3T,595,8.83
Static-3T,596,8.84
Static-3T,597,8.84
Static-3T,598,8.84
Static-3T,599,8.84
Static-3T,600,8.84
Static-3T,601,8.85
Static-3T,602,8.85
Static-3T,603,8.85
Static-3T,604,8.85
Static-3T,605,8.85
Static-3T,606,8.86
Static-3T,607,8.86
Static-3T,608,8.86
Static-3T,609,8.87
Static-3T,610,8.87
Static-3T,611,8.87
Static-3T,612,8.87
Static-3T,613,8.87
Static-3T,614,8.88
Static-3T,615,8.88
Static-3T,616,8.88
Static-3T,617,8.88
Static-3T,618,8.89
Static-3T,619,8.89
Static-3T,620,8.89
Static-3T,621,8.89
Static-3T,622,8.89
Static-3T,623,8.9
Static-3T,624,8.9
Static-3T,625,8.9
Static-3T,626,8.9
Static-3T,627,8.91
Static-3T,628,8.91
Static-3T,629,8.91
Static-3T,630,8.91
Static-3T,631,8.91
Static-3T,632,8.92
Static-3T,633,8.92
Static-3T,634,8.92
Static-3T,635,8.92
Static-3T,636,8.93
Static-3T,637,8.93
Static-3T,638,8.93
Static-3T,639,8.93
Static-3T,640,8.93
Static-3T,641,8.94
Static-3T,642,8.94
Static-3T,643,8.94
Static-3T,644,8.94
Static-3T,645,8.95
Static-3T,646,8.95
Static-3T,647,8.95
Static-3T,648,8.95
Static-3T,649,8.95
Static-3T,650,8.96
Static-3T,651,8.96
Static-3T,652,8.96
Static-3T,653,8.96
Static-3T,654,8.97
Static-3T,655,8.97
Static-3T,656,8.97
Static-3T,657,8.97
Static-3T,658,8.98
Static-3T,659,8.98
Static-3T,660,8.98
Static-3T,661,8.98
Static-3T,662,8.98
Static-3T,663,8.99
Static-3T,664,8.99
Static-3T,665,8.99
Static-3T,666,8.99
Static-3T,667,8.99
Static-3T,668,9.0
Static-3T,669,9.0
Static-3T,670,9.0
Static-3T,671,9.0
Static-3T,672,9.01
Static-3T,673,9.01
Static-3T,674,9.01
Static-3T,675,9.01
Static-3T,676,9.02
Static-3T,677,9.02
Static-3T,678,9.02
Static-3T,679,9.02
Static-3T,680,9.02
Static-3T,681,9.03
Static-3T,682,9.03
Static-3T,683,9.03
Static-3T,684,9.04
Static-3T,685,9.04
Static-3T,686,9.04
Static-3T,687,9.04
Static-3T,688,9.04
Static-3T,689,9.05
Static-3T,690,9.05
Static-3T,691,9.05
Static-3T,692,9.05
Static-3T,693,9.06
Static-3T,694,9.06
Static-3T,695,9.06
Static-3T,696,9.06
Static-3T,697,9.06
Static-3T,698,9.07
Static-3T,699,9.07
Static-3T,700,9.07
Static-3T,701,9.07
Static-3T,702,9.07
Static-3T,703,9.08
Static-3T,704,9.08
Static-3T,705,9.08
Static-3T,706,9.08
Static-3T,707,9.09
Static-3T,708,9.09
Static-3T,709,9.09
Static-3T,710,9.09
Static-3T,711,9.1
Static-3T,712,9.1
Static-3T,713,9.1
Static-3T,714,9.1
Static-3T,715,9.11
Static-3T,716,9.11
Static-3T,717,9.11
Static-3T,718,9.11
Static-3T,719,9.11
Static-3T,720,9.12
Static-3T,721,9.12
Static-3T,722,9.12
Static-3T,723,9.12
Static-3T,724,9.13
Static-3T,725,9.13
Static-3T,726,9.13
Static-3T,727,9.13
Static-3T,728,9.14
Static-3T,729,9.14
Static-3T,730,9.14
Static-3T,731,9.14
Static-3T,732,9.14
Static-3T,733,9.15
Static-3T,734,9.15
Static-3T,735,9.15
Static-3T,736,9.15
Static-3T,737,9.16
Static-3T,738,9.16
Static-3T,739,9.16
Static-3T,740,9.16
Static-3T,741,9.16
Static-3T,742,9.17
Static-3T,743,9.17
Static-3T,744,9.17
Static-3T,745,9.17
Static-3T,746,9.18
Static-3T,747,9.18
Static-3T,748,9.18
Static-3T,749,9.18
Static-3T,750,9.19
Static-3T,751,9.19
Static-3T,752,9.19
Static-3T,753,9.19
Static-3T,754,9.19
Static-3T,755,9.2
Static-3T,756,9.2
Static-3T,757,9.2
Static-3T,758,9.2
Static-3T,759,9.21
Static-3T,760,9.21
Static-3T,761,9.21
Static-3T,762,9.21
Static-3T,763,9.22
Static-3T,764,9.22
Static-3T,765,9.22
Static-3T,766,9.22
Static-3T,767,9.23
Static-3T,768,9.23
Static-3T,769,9.23
Static-3T,770,9.23
Static-3T,771,9.23
Static-3T,772,9.24
Static-3T,773,9.24
Static-3T,774,9.24
Static-3T,775,9.24
Static-3T,776,9.25
Static-3T,777,9.25
Static-3T,778,9.25
Static-3T,779,9.25
Static-3T,780,9.26
Static-3T,781,9.26
Static-3T,782,9.26
Static-3T,783,9.26
Static-3T,784,9.27
Static-3T,785,9.27
Static-3T,786,9.27
Static-3T,787,9.27
Static-3T,788,9.27
Static-3T,789,9.28
Static-3T,790,9.28
Static-3T,791,9.28
Static-3T,792,9.28
Static-3T,793,9.29
Static-3T,794,9.29
Static-3T,795,9.29
Static-3T,796,9.29
Static-3T,797,9.3
Static-3T,798,9.3
Static-3T,799,9.3
Static-3T,800,9.3
Static-3T,801,9.31
Static-3T,802,9.31
Static-3T,803,9.31
Static-3T,804,9.31
Static-3T,805,9.31
Static-3T,806,9.32
Static-3T,807,9.32
Static-3T,808,9.32
Static-3T,809,9.32
Static-3T,810,9.33
Static-3T,811,9.33
Static-3T,812,9.33
Static-3T,813,9.33
Static-3T,814,9.34
Static-3T,815,9.34
Static-3T,816,9.34
Static-3T,817,9.34
Static-3T,818,9.34
Static-3T,819,9.35
Static-3T,820,9.35
Static-3T,821,9.35
Static-3T,822,9.35
Static-3T,823,9.36
Static-3T,824,9.36
Static-3T,825,9.36
Static-3T,826,9.36
Static-3T,827,9.37
Static-3T,828,9.37
Static-3T,829,9.37
Static-3T,830,9.37
Static-3T,831,9.38
Static-3T,832,9.38
Static-3T,833,9.38
Static-3T,834,9.38
Static-3T,835,9.39
Static-3T,836,9.39
Static-3T,837,9.39
Static-3T,838,9.39
Static-3T,839,9.39
Static-3T,840,9.4
Static-3T,841,9.4
Static-3T,842,9.4
Static-3T,843,9.4
Static-3T,844,9.41
Static-3T,845,9.41
Static-3T,846,9.41
Static-3T,847,9.41
Static-3T,848,9.42
Static-3T,849,9.42
Static-3T,850,9.42
Static-3T,851,9.42
Static-3T,852,9.43
Static-3T,853,9.43
Static-3T,854,9.43
Static-3T,855,9.43
Static-3T,856,9.44
Static-3T,857,9.44
Static-3T,858,9.44
Static-3T,859,9.44
Static-3T,860,9.45
Static-3T,861,9.45
Static-3T,862,9.45
Static-3T,863,9.45
Static-3T,864,9.45
Static-3T,865,9.46
Static-3T,866,9.46
Static-3T,867,9.46
Static-3T,868,9.46
Static-3T,869,9.47
Static-3T,870,9.47
Static-3T,871,9.47
Static-3T,872,9.47
Static-3T,873,9.48
Static-3T,874,9.48
Static-3T,875,9.48
Static-3T,876,9.48
Static-3T,877,9.49
Static-3T,878,9.49
Static-3T,879,9.49
Static-3T,880,9.49
Static-3T,881,9.5
Static-3T,882,9.5
Static-3T,883,9.5
Static-3T,884,9.5
Static-3T,885,9.5
Static-3T,886,9.51
Static-3T,887,9.51
Static-3T,888,9.51
Static-3T,889,9.51
Static-3T,890,9.52
Static-3T,891,9.52
Static-3T,892,9.52
Static-3T,893,9.52
Static-3T,894,9.53
Static-3T,895,9.53
Static-3T,896,9.53
Static-3T,897,9.53
Static-3T,898,9.54
Static-3T,899,9.54
Static-3T,900,9.54
Static-3T,901,9.54
Static-3T,902,9.55
Static-3T,903,9.55
Static-3T,904,9.55
Static-3T,905,9.55
Static-3T,906,9.56
Static-3T,907,9.56
Static-3T,908,9.56
Static-3T,909,9.56
Static-3T,910,9.57
Static-3T,911,9.57
Static-3T,912,9.57
Static-3T,913,9.57
Static-3T,914,9.57
Static-3T,915,9.58
Static-3T,916,9.58
Static-3T,917,9.58
Static-3T,918,9.58
Static-3T,919,9.59
Static-3T,920,9.59
Static-3T,921,9.59
Static-3T,922,9.59
Static-3T,923,9.6
Static-3T,924,9.6
Static-3T,925,9.6
Static-3T,926,9.6
Static-3T,927,9.61
Static-3T,928,9.61
Static-3T,929,9.61
Static-3T,930,9.61
Static-3T,931,9.62
Static-3T,932,9.62
Static-3T,933,9.62
Static-3T,934,9.62
Static-3T,935,9.63
Static-3T,936,9.63
Static-3T,937,9.63
Static-3T,938,9.63
Static-3T,939,9.63
Static-3T,940,9.64
Static-3T,941,9.64
Static-3T,942,9.64
Static-3T,943,9.64
Static-3T,944,9.65
Static-3T,945,9.65
Static-3T,946,9.65
Static-3T,947,9.65
Static-3T,948,9.66
Static-3T,949,9.66
Static-3T,950,9.66
Static-3T,951,9.66
Static-3T,952,9.67
Static-3T,953,9.67
Static-3T,954,9.67
Static-3T,955,9.67
Static-3T,956,9.68
Static-3T,957,9.68
Static-3T,958,9.68
Static-3T,959,9.68
Static-3T,960,9.69
Static-3T,961,9.69
Static-3T,962,9.69
Static-3T,963,9.69
Static-3T,964,9.7
Static-3T,965,9.7
Static-3T,966,9.7
Static-3T,967,9.7
Static-3T,968,9.71
Static-3T,969,9.71
Static-3T,970,9.71
Static-3T,971,9.71
Static-3T,972,9.72
Static-3T,973,9.72
Static-3T,974,9.72
Static-3T,975,9.72
Static-3T,976,9.73
Static-3T,977,9.73
Static-3T,978,9.73
Static-3T,979,9.73
Static-3T,980,9.74
Static-3T,981,9.74
Static-3T,982,9.74
Static-3T,983,9.74
Static-3T,984,9.75
Static-3T,985,9.75
Static-3T,986,9.75
Static-3T,987,9.75
Static-3T,988,9.75
Static-3T,989,9.76
Static-3T,990,9.76
Static-3T,991,9.76
Static-3T,992,9.76
Static-3T,993,9.77
Static-3T,994,9.77
Static-3T,995,9.77
Static-3T,996,9.78
Static-3T,997,9.78
Static-3T,998,9.78
Static-3T,999,9.78
Static-3T,1000,9.78
Static-3T,1001,9.79
Static-3T,1002,9.79
Static-3T,1003,9.79
Static-3T,1004,9.8
Static-3T,1005,9.8
Static-3T,1006,9.8
Static-3T,1007,9.8
Static-3T,1008,9.8
Static-3T,1009,9.81
Static-3T,1010,9.81
Static-3T,1011,9.81
Static-3T,1012,9.82
Static-3T,1013,9.82
Static-3T,1014,9.82
Static-3T,1015,9.82
Static-3T,1016,9.82
Static-3T,1017,9.83
Static-3T,1018,9.83
Static-3T,1019,9.83
Static-3T,1020,9.83
Static-3T,1021,9.84
Static-3T,1022,9.84
Static-3T,1023,9.84
Static-3T,1024,9.84
Static-3T,1025,9.85
Static-3T,1026,9.85
Static-3T,1027,9.85
Static-3T,1028,9.86
Static-3T,1029,9.86
Static-3T,1030,9.86
Static-3T,1031,9.86
Static-3T,1032,9.86
Static-3T,1033,9.87
Static-3T,1034,9.87
Static-3T,1035,9.87
Static-3T,1036,9.88
Static-3T,1037,9.88
Static-3T,1038,9.88
Static-3T,1039,9.88
Static-3T,1040,9.89
Static-3T,1041,9.89
Static-3T,1042,9.89
Static-3T,1043,9.89
Static-3T,1044,9.89
Static-3T,1045,9.9
Static-3T,1046,9.9
Static-3T,1047,9.9
Static-3T,1048,9.9
Static-3T,1049,9.91
Static-3T,1050,9.91
Static-3T,1051,9.91
Static-3T,1052,9.92
Static-3T,1053,9.92
Static-3T,1054,9.92
Static-3T,1055,9.92
Static-3T,1056,9.92
Static-3T,1057,9.93
Static-3T,1058,9.93
Static-3T,1059,9.93
Static-3T,1060,9.93
Static-3T,1061,9.94
Static-3T,1062,9.94
Static-3T,1063,9.94
Static-3T,1064,9.95
Static-3T,1065,9.95
Static-3T,1066,9.95
Static-3T,1067,9.95
Static-3T,1068,9.95
Static-3T,1069,9.96
Static-3T,1070,9.96
Static-3T,1071,9.96
Static-3T,1072,9.96
Static-3T,1073,9.97
Static-3T,1074,9.97
Static-3T,1075,9.97
Static-3T,1076,9.97
Static-3T,1077,9.98
Static-3T,1078,9.98
Static-3T,1079,9.98
Static-3T,1080,9.99
Static-3T,1081,9.99
Static-3T,1082,9.99
Static-3T,1083,9.99
Static-3T,1084,9.99
Static-3T,1085,10.0
Static-3T,1086,10.0
Static-3T,1087,10.0
Static-3T,1088,10.0
Static-3T,1089,10.01
Static-3T,1090,10.01
Static-3T,1091,10.01
Static-3T,1092,10.01
Static-3T,1093,10.02
Static-3T,1094,10.02
Static-3T,1095,10.02
Static-3T,1096,10.03
Static-3T,1097,10.03
Static-3T,1098,10.03
Static-3T,1099,10.03
Static-3T,1100,10.04
Static-3T,1101,10.04
Static-3T,1102,10.04
Static-3T,1103,10.04
Static-3T,1104,10.04
Static-3T,1105,10.05
Static-3T,1106,10.05
Static-3T,1107,10.05
Static-3T,1108,10.06
Static-3T,1109,10.06
Static-3T,1110,10.06
Static-3T,1111,10.06
Static-3T,1112,10.07
Static-3T,1113,10.07
Static-3T,1114,10.07
Static-3T,1115,10.07
Static-3T,1116,10.08
Static-3T,1117,10.08
Static-3T,1118,10.08
Static-3T,1119,10.08
Static-3T,1120,10.09
Static-3T,1121,10.09
Static-3T,1122,10.09
Static-3T,1123,10.09
Static-3T,1124,10.1
Static-3T,1125,10.1
Static-3T,1126,10.1
Static-3T,1127,10.1
Static-3T,1128,10.11
Static-3T,1129,10.11
Static-3T,1130,10.11
Static-3T,1131,10.11
Static-3T,1132,10.12
Static-3T,1133,10.12
Static-3T,1134,10.12
Static-3T,1135,10.13
Static-3T,1136,10.13
Static-3T,1137,10.13
Static-3T,1138,10.13
Static-3T,1139,10.13
Static-3T,1140,10.14
Static-3T,1141,10.14
Static-3T,1142,10.14
Static-3T,1143,10.14
Static-3T,1144,10.15
Static-3T,1145,10.15
Static-3T,1146,10.15
Static-3T,1147,10.16
Static-3T,1148,10.16
Static-3T,1149,10.16
Static-3T,1150,10.16
